date,ga_session_id,continent,country,device,browser,mobile_model_name,operating_system,language,traffic_source,traffic_channel,account_id,is_verified,is_unsubscribed,category,name,price,short_description
2021-01-13,2370422193,Asia,India,desktop,Safari,Safari,Macintosh,en-us,(organic),Paid Search,,,,,,,
2020-12-15,1501202220,Asia,India,mobile,Safari,iPhone,iOS,,(data deleted),Undefined,,,,,,,
2021-01-27,3847258943,Asia,India,desktop,Chrome,Chrome,Web,,<Other>,Paid Search,,,,,,,
2020-12-09,4771267405,Americas,United States,desktop,Chrome,Safari,Web,en-us,<Other>,Paid Search,,,,Chairs,MAMMUT,29.0,Children's stool
2021-01-15,6473872963,Americas,Brazil,desktop,Chrome,Safari,Macintosh,en-us,(organic),Organic Search,,,,,,,
2020-11-18,4300345705,Americas,United States,mobile,Chrome,<Other>,Web,es-es,(direct),Direct,,,,Beds,SVÄRTA,300.0,Desk top
2020-11-20,5372422694,Asia,Indonesia,desktop,Chrome,ChromeBook,Web,,(direct),Direct,,,,,,,
2020-12-08,4954473745,Asia,Japan,desktop,Chrome,Chrome,Web,en-us,<Other>,Paid Search,,,,,,,
2021-01-30,2852127454,Oceania,New Zealand,mobile,Chrome,<Other>,Web,,(data deleted),Undefined,,,,,,,
2020-11-16,5408914371,Asia,India,desktop,Chrome,Chrome,Web,,(direct),Direct,,,,,,,
2021-01-17,316327114,Americas,United States,mobile,Safari,iPhone,iOS,,<Other>,Organic Search,,,,Sofas & armchairs,EKTORP,100.0,Footstool cover
2021-01-13,4373580217,Americas,United States,mobile,Safari,iPhone,Web,,(organic),Organic Search,,,,,,,
2021-01-22,753737980,Asia,India,mobile,Chrome,Pixel 3,Android,en-us,<Other>,Paid Search,,,,,,,
2020-12-18,1645857153,Europe,Croatia,mobile,Chrome,iPhone,iOS,en-us,(organic),Organic Search,,,,,,,
2020-12-27,7110140010,Americas,United States,desktop,Chrome,Chrome,Windows,en-us,(direct),Direct,,,,,,,
2020-12-13,7249216221,Americas,United States,desktop,Chrome,Chrome,Web,,(direct),Direct,,,,,,,
2020-11-05,1040846235,Americas,United States,mobile,Chrome,<Other>,Web,en-us,(referral),Paid Search,,,,,,,
2021-01-27,1878075091,Americas,Colombia,mobile,Chrome,iPhone,iOS,en-us,<Other>,Paid Search,,,,,,,
2020-11-19,6379340645,Americas,Mexico,desktop,Chrome,Chrome,Web,en-us,(direct),Direct,,,,Sofas & armchairs,GRÖNLID,665.0,Cover for 3-seat sofa-bed
2021-01-04,4012767490,Americas,United States,desktop,Chrome,Chrome,Web,en-us,(direct),Direct,,,,,,,
2021-01-12,7781137325,Europe,France,desktop,Chrome,Chrome,Web,en-gb,(organic),Organic Search,,,,Beds,MALM,1595.0,"Ottoman bed, 160x200 cm"
2021-01-01,6342418556,Americas,Peru,desktop,Chrome,Chrome,Windows,,(data deleted),Undefined,,,,,,,
2020-11-02,6105444448,Asia,Taiwan,mobile,Safari,iPhone,iOS,en,(organic),Organic Search,,,,,,,
2021-01-29,5003137436,Asia,Turkey,mobile,Safari,iPhone,iOS,en-us,(organic),Paid Search,,,,,,,
2021-01-10,7461388546,Europe,Spain,desktop,Chrome,Safari,Macintosh,en-us,(organic),Organic Search,,,,,,,
2020-11-11,3163146064,Europe,Sweden,mobile,Chrome,<Other>,Web,,(organic),Organic Search,,,,,,,
2020-12-08,2771341305,Europe,United Kingdom,desktop,Chrome,Chrome,Web,en-us,(referral),Social Search,,,,,,,
2020-12-01,7071561571,Africa,(not set),desktop,Edge,Edge,Web,en-us,(organic),Organic Search,,,,,,,
2020-12-21,5374118331,Asia,China,mobile,Chrome,<Other>,Android,,(organic),Organic Search,,,,,,,
2021-01-13,7305529756,Asia,China,desktop,Chrome,Safari,Web,en-us,<Other>,Paid Search,,,,,,,
2020-11-05,5016606743,Americas,United States,mobile,Chrome,<Other>,Android,en-gb,(organic),Organic Search,,,,,,,
2021-01-13,2340213631,Europe,Ukraine,desktop,Chrome,Chrome,Web,en-us,(data deleted),Undefined,673451,1,0,Cabinets & cupboards,HAVSTA,1900.0,"Storage combination w glass-doors, 162x37x134 cm"
2020-11-25,1976034169,Asia,India,mobile,Safari,iPhone,iOS,zh,(data deleted),Undefined,637785,1,0,,,,
2020-12-23,3464568512,Europe,Germany,mobile,Safari,iPhone,iOS,en-us,(direct),Direct,,,,,,,
2021-01-26,9324539221,Asia,India,tablet,Safari,iPad,iOS,en-us,(direct),Direct,,,,,,,
2021-01-08,6053499357,Asia,India,desktop,Chrome,Chrome,Windows,en-us,(direct),Direct,,,,,,,
2020-11-20,6326291411,Americas,United States,desktop,Chrome,Safari,Web,,(organic),Organic Search,,,,,,,
2020-11-29,4231435915,Europe,Lithuania,desktop,Edge,Edge,Windows,en-ca,(direct),Direct,,,,,,,
